Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,22073,"Ouachita, LA        ",3,52.2%,38.9%,28.4%,21.4%,12.2%
2016-2020,22075,"Plaquemines, LA        ",1,64.3%,49.6%,42.0%,31.3%,15.0%
2016-2020,22077,"Pointe Coupee, LA        ",2,74.4%,56.4%,41.4%,30.9%,18.8%
2016-2020,22079,"Rapides, LA        ",3,55.3%,43.5%,31.0%,25.4%,13.5%
2016-2020,22081,"Red River, LA        ",8,73.2%,58.3%,42.6%,32.6%,20.9%
2016-2020,22083,"Richland, LA        ",6,70.1%,57.7%,48.0%,38.1%,22.2%
2016-2020,22085,"Sabine, LA        ",6,63.5%,51.1%,38.1%,29.2%,14.6%
2016-2020,22087,"St. Bernard, LA        ",1,57.5%,42.4%,32.8%,26.9%,19.4%
2016-2020,22089,"St. Charles, LA        ",1,56.7%,41.1%,26.0%,20.0%,10.1%
2016-2020,22091,"St. Helena, LA        ",2,71.3%,55.1%,42.4%,32.5%,20.9%
2016-2020,22093,"St. James, LA        ",1,63.8%,48.9%,38.9%,26.1%,14.4%
2016-2020,22095,"St. John the Baptist, LA        ",1,61.6%,42.3%,28.5%,23.1%,14.4%
2016-2020,22097,"St. Landry, LA        ",4,73.1%,58.9%,44.7%,38.0%,23.3%
2016-2020,22099,"St. Martin, LA        ",2,77.5%,60.7%,46.3%,37.1%,16.8%
2016-2020,22101,"St. Mary, LA        ",4,62.7%,50.0%,41.9%,34.1%,18.0%
2016-2020,22103,"St. Tammany, LA        ",1,50.9%,32.2%,23.1%,16.1%,9.5%
2016-2020,22105,"Tangipahoa, LA        ",3,65.8%,49.1%,39.3%,28.5%,17.9%
2016-2020,22107,"Tensas, LA        ",9,74.1%,57.7%,41.9%,36.8%,21.1%
2016-2020,22109,"Terrebonne, LA        ",3,64.4%,47.4%,40.4%,32.9%,19.4%
2016-2020,22111,"Union, LA        ",3,69.6%,54.2%,35.7%,28.3%,15.0%
2016-2020,22113,"Vermilion, LA        ",2,72.4%,56.4%,41.7%,34.4%,20.0%
2016-2020,22115,"Vernon, LA        ",5,51.5%,36.8%,23.1%,19.9%,12.4%
2016-2020,22117,"Washington, LA        ",6,61.8%,50.7%,38.5%,31.8%,19.4%
2016-2020,22119,"Webster, LA        ",2,61.5%,49.1%,36.1%,29.2%,14.4%
2016-2020,22121,"West Baton Rouge, LA        ",2,63.6%,49.6%,34.0%,26.6%,13.2%
2016-2020,22123,"West Carroll, LA        ",9,72.5%,57.7%,48.0%,40.5%,19.0%
2016-2020,22125,"West Feliciana, LA        ",2,75.4%,54.2%,42.8%,46.7%,20.0%
2016-2020,22127,"Winn, LA        ",6,70.4%,51.5%,42.0%,34.6%,19.3%
