Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,51095,"James City, VA        ",1,54.5%,35.7%,17.5%,10.7%,4.6%
2016-2020,51097,"King and Queen, VA        ",8,66.2%,57.4%,42.4%,31.8%,9.3%
2016-2020,51099,"King George, VA        ",6,52.9%,36.8%,26.9%,19.6%,7.5%
2016-2020,51101,"King William, VA        ",1,56.7%,47.2%,31.5%,20.9%,5.8%
2016-2020,51103,"Lancaster, VA        ",9,62.2%,49.4%,35.2%,25.6%,9.8%
2016-2020,51105,"Lee, VA        ",8,80.2%,65.7%,52.0%,39.4%,21.0%
2016-2020,51107,"Loudoun, VA        ",1,45.2%,24.7%,13.4%,7.5%,6.1%
2016-2020,51109,"Louisa, VA        ",8,70.3%,59.1%,40.2%,28.3%,11.6%
2016-2020,51111,"Lunenburg, VA        ",9,73.4%,60.6%,47.8%,36.6%,18.2%
2016-2020,51113,"Madison, VA        ",8,69.2%,54.6%,37.3%,25.0%,11.4%
2016-2020,51115,"Mathews, VA        ",1,63.5%,46.2%,30.0%,19.2%,8.1%
2016-2020,51117,"Mecklenburg, VA        ",7,67.9%,58.9%,41.9%,32.2%,15.2%
2016-2020,51119,"Middlesex, VA        ",8,65.4%,49.8%,33.4%,26.3%,12.2%
2016-2020,51121,"Montgomery, VA        ",3,53.1%,38.0%,26.4%,17.2%,6.2%
2016-2020,51125,"Nelson, VA        ",3,81.1%,63.4%,43.0%,31.0%,14.7%
2016-2020,51127,"New Kent, VA        ",1,71.1%,45.1%,27.2%,19.4%,6.5%
2016-2020,51131,"Northampton, VA        ",8,68.1%,60.1%,42.7%,32.6%,14.9%
2016-2020,51133,"Northumberland, VA        ",9,66.0%,53.1%,36.1%,24.1%,7.9%
2016-2020,51135,"Nottoway, VA        ",6,67.9%,61.1%,46.8%,35.6%,17.7%
2016-2020,51137,"Orange, VA        ",6,66.7%,49.6%,34.1%,24.8%,10.3%
2016-2020,51139,"Page, VA        ",6,73.5%,59.1%,44.6%,35.2%,16.2%
2016-2020,51141,"Patrick, VA        ",8,75.0%,60.2%,45.9%,37.8%,17.7%
2016-2020,51143,"Pittsylvania, VA        ",4,73.5%,62.2%,43.9%,32.7%,15.9%
2016-2020,51145,"Powhatan, VA        ",1,68.6%,47.8%,33.7%,21.1%,10.4%
2016-2020,51147,"Prince Edward, VA        ",6,64.9%,53.4%,39.5%,30.1%,14.6%
2016-2020,51149,"Prince George, VA        ",1,44.6%,32.1%,22.1%,18.4%,10.2%
2016-2020,51153,"Prince William, VA        ",1,35.0%,18.1%,12.2%,11.2%,10.8%
2016-2020,51155,"Pulaski, VA        ",3,65.2%,53.3%,40.4%,25.8%,10.9%
2016-2020,51157,"Rappahannock, VA        ",1,75.3%,53.3%,32.8%,24.0%,9.1%
2016-2020,51159,"Richmond, VA        ",9,70.0%,57.2%,43.2%,40.0%,19.9%
2016-2020,51161,"Roanoke, VA        ",2,42.0%,30.0%,20.6%,14.2%,6.7%
2016-2020,51163,"Rockbridge, VA        ",6,67.2%,51.6%,37.9%,29.0%,11.0%
2016-2020,51165,"Rockingham, VA        ",3,58.8%,47.0%,35.3%,27.6%,14.7%
2016-2020,51167,"Russell, VA        ",7,79.2%,60.9%,49.4%,37.5%,18.9%
2016-2020,51169,"Scott, VA        ",2,75.3%,63.3%,48.8%,35.6%,17.9%
2016-2020,51171,"Shenandoah, VA        ",6,63.0%,50.1%,34.8%,24.7%,11.9%
2016-2020,51173,"Smyth, VA        ",7,74.8%,62.6%,46.7%,32.5%,16.6%
2016-2020,51175,"Southampton, VA        ",6,75.4%,61.4%,41.6%,36.8%,14.8%
2016-2020,51177,"Spotsylvania, VA        ",1,64.1%,41.8%,23.4%,16.2%,8.7%
2016-2020,51179,"Stafford, VA        ",1,56.4%,34.8%,19.1%,11.4%,7.0%
2016-2020,51181,"Surry, VA        ",8,77.7%,60.5%,42.0%,29.6%,15.6%
2016-2020,51183,"Sussex, VA        ",1,72.7%,62.9%,45.8%,42.4%,19.3%
2016-2020,51185,"Tazewell, VA        ",5,71.2%,56.1%,42.7%,32.5%,16.6%
2016-2020,51187,"Warren, VA        ",1,60.2%,46.0%,35.4%,24.5%,12.1%
2016-2020,51191,"Washington, VA        ",2,68.8%,55.7%,39.6%,27.7%,13.8%
2016-2020,51193,"Westmoreland, VA        ",6,69.0%,55.5%,41.0%,30.7%,16.2%
2016-2020,51195,"Wise, VA        ",7,76.1%,59.2%,47.9%,37.5%,22.7%
2016-2020,51197,"Wythe, VA        ",6,65.5%,54.7%,38.2%,29.8%,12.6%
2016-2020,51199,"York, VA        ",1,47.0%,24.0%,11.7%,8.3%,4.8%
2016-2020,51510,"Alexandria, VA        ",1,30.8%,17.0%,13.1%,13.2%,7.0%
2016-2020,51515,"Bedford, VA        ",2,57.1%,47.4%,39.9%,29.1%,
2016-2020,51520,"Bristol, VA        ",2,60.7%,49.0%,39.1%,27.6%,13.8%
2016-2020,51530,"Buena Vista, VA        ",6,66.5%,56.6%,44.5%,31.0%,20.3%
2016-2020,51540,"Charlottesville, VA        ",3,43.1%,34.9%,24.5%,19.2%,9.1%
2016-2020,51550,"Chesapeake, VA        ",1,62.6%,39.3%,22.9%,14.9%,6.8%
2016-2020,51560,"Clifton Forge, VA        ",,46.1%,47.3%,31.0%,25.0%,
2016-2020,51570,"Colonial Heights, VA        ",1,47.4%,33.0%,22.2%,16.3%,8.2%
2016-2020,51580,"Covington, VA        ",6,63.2%,51.5%,35.5%,28.6%,11.5%
2016-2020,51590,"Danville, VA        ",4,60.1%,52.5%,42.6%,31.5%,16.4%
2016-2020,51595,"Emporia, VA        ",6,72.2%,64.5%,41.9%,41.5%,24.9%
2016-2020,51600,"Fairfax, VA        ",1,23.4%,14.4%,12.5%,11.4%,7.4%
2016-2020,51610,"Falls Church, VA        ",1,24.4%,13.9%,8.6%,4.1%,3.2%
2016-2020,51620,"Franklin, VA        ",6,65.6%,58.4%,38.1%,29.0%,16.3%
2016-2020,51630,"Fredericksburg, VA        ",1,47.2%,40.5%,26.2%,19.8%,7.8%
2016-2020,51640,"Galax, VA        ",7,66.6%,61.8%,43.8%,39.6%,24.6%
2016-2020,51650,"Hampton, VA        ",1,46.4%,32.5%,20.3%,14.5%,8.2%
2016-2020,51660,"Harrisonburg, VA        ",3,46.4%,36.5%,23.2%,23.2%,16.7%
2016-2020,51670,"Hopewell, VA        ",1,51.5%,45.2%,32.6%,28.2%,15.5%
2016-2020,51678,"Lexington, VA        ",6,43.4%,32.6%,27.2%,22.9%,8.3%
2016-2020,51680,"Lynchburg, VA        ",2,55.3%,41.1%,30.5%,22.0%,11.4%
2016-2020,51683,"Manassas, VA        ",1,,20.8%,15.8%,18.7%,14.3%
2016-2020,51685,"Manassas Park, VA        ",1,,40.9%,29.6%,23.6%,22.1%
2016-2020,51690,"Martinsville, VA        ",4,55.1%,47.0%,37.1%,31.5%,13.7%
2016-2020,51700,"Newport News, VA        ",1,49.5%,33.0%,20.7%,15.5%,8.4%
2016-2020,51710,"Norfolk, VA        ",1,52.1%,38.3%,27.3%,21.6%,11.9%
2016-2020,51720,"Norton, VA        ",7,63.0%,53.8%,45.7%,33.5%,14.6%
2016-2020,51730,"Petersburg, VA        ",1,61.5%,49.3%,37.8%,31.4%,16.7%
2016-2020,51735,"Poquoson, VA        ",1,,31.0%,15.6%,11.5%,4.0%
2016-2020,51740,"Portsmouth, VA        ",1,61.9%,45.4%,33.4%,24.8%,10.7%
2016-2020,51750,"Radford, VA        ",3,47.1%,38.9%,24.6%,16.6%,9.4%
2016-2020,51760,"Richmond, VA        ",1,57.1%,42.9%,31.9%,24.8%,13.1%
2016-2020,51770,"Roanoke, VA        ",2,51.8%,42.5%,32.0%,24.0%,12.3%
2016-2020,51775,"Salem, VA        ",2,47.3%,38.8%,23.9%,18.0%,9.2%
2016-2020,51790,"Staunton, VA        ",3,52.0%,41.9%,28.6%,24.4%,10.3%
2016-2020,51800,"Suffolk, VA        ",1,59.3%,53.2%,36.1%,23.2%,9.7%
2016-2020,51810,"Virginia Beach, VA        ",1,37.4%,20.0%,12.0%,9.6%,6.0%
2016-2020,51820,"Waynesboro, VA        ",3,44.6%,41.6%,28.8%,22.1%,12.9%
2016-2020,51830,"Williamsburg, VA        ",1,23.4%,22.5%,16.3%,10.4%,6.8%
2016-2020,51840,"Winchester, VA        ",3,54.4%,44.9%,31.2%,24.6%,13.8%
