Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,51057,"Essex, VA        ",6,6.4%,12.0%,16.4%,17.4%,16.2%
2016-2020,51059,"Fairfax, VA        ",1,30.3%,41.8%,49.0%,54.8%,62.1%
2016-2020,51061,"Fauquier, VA        ",1,8.9%,15.5%,21.5%,27.1%,36.7%
2016-2020,51063,"Floyd, VA        ",3,2.0%,7.6%,10.4%,12.5%,21.7%
2016-2020,51065,"Fluvanna, VA        ",3,4.9%,11.3%,16.3%,24.5%,35.6%
2016-2020,51067,"Franklin, VA        ",2,4.6%,7.4%,10.1%,14.8%,22.7%
2016-2020,51069,"Frederick, VA        ",3,5.3%,9.9%,14.7%,18.6%,26.8%
2016-2020,51071,"Giles, VA        ",3,5.3%,7.2%,8.9%,12.4%,19.5%
2016-2020,51073,"Gloucester, VA        ",1,6.5%,13.2%,14.7%,17.6%,24.0%
2016-2020,51075,"Goochland, VA        ",1,5.1%,13.4%,19.3%,29.4%,43.8%
2016-2020,51077,"Grayson, VA        ",9,2.7%,4.9%,4.2%,8.0%,16.0%
2016-2020,51079,"Greene, VA        ",3,2.4%,10.4%,12.7%,19.8%,30.0%
2016-2020,51081,"Greensville, VA        ",6,3.7%,5.1%,5.3%,11.0%,11.3%
2016-2020,51083,"Halifax, VA        ",6,3.1%,5.0%,6.4%,9.5%,16.1%
2016-2020,51085,"Hanover, VA        ",1,7.6%,12.5%,18.9%,28.7%,40.3%
2016-2020,51087,"Henrico, VA        ",1,14.3%,20.8%,28.0%,34.9%,44.3%
2016-2020,51089,"Henry, VA        ",4,4.1%,6.2%,6.7%,9.4%,15.1%
2016-2020,51091,"Highland, VA        ",8,6.3%,8.8%,13.0%,13.2%,30.7%
2016-2020,51093,"Isle of Wight, VA        ",1,3.6%,9.3%,10.4%,17.5%,28.0%
2016-2020,51095,"James City, VA        ",1,12.0%,23.4%,32.9%,41.5%,51.0%
2016-2020,51097,"King and Queen, VA        ",8,5.9%,7.6%,7.5%,10.3%,25.8%
2016-2020,51099,"King George, VA        ",6,13.8%,19.2%,20.4%,23.6%,35.5%
2016-2020,51101,"King William, VA        ",1,8.3%,12.4%,13.0%,14.8%,24.1%
2016-2020,51103,"Lancaster, VA        ",9,7.0%,14.3%,18.9%,24.5%,33.9%
2016-2020,51105,"Lee, VA        ",8,3.6%,6.2%,6.5%,9.5%,9.6%
2016-2020,51107,"Loudoun, VA        ",1,12.4%,23.5%,32.7%,47.2%,61.6%
2016-2020,51109,"Louisa, VA        ",8,3.8%,7.2%,8.7%,14.0%,25.2%
2016-2020,51111,"Lunenburg, VA        ",9,4.2%,6.8%,6.6%,9.2%,12.5%
2016-2020,51113,"Madison, VA        ",8,5.0%,9.9%,15.4%,19.4%,24.5%
2016-2020,51115,"Mathews, VA        ",1,6.9%,10.5%,15.5%,19.2%,29.1%
2016-2020,51117,"Mecklenburg, VA        ",7,5.3%,8.5%,10.0%,12.1%,23.1%
2016-2020,51119,"Middlesex, VA        ",8,7.8%,10.6%,14.7%,18.9%,26.9%
2016-2020,51121,"Montgomery, VA        ",3,17.3%,26.8%,31.6%,35.9%,46.0%
2016-2020,51125,"Nelson, VA        ",3,4.3%,10.1%,13.4%,20.8%,30.9%
2016-2020,51127,"New Kent, VA        ",1,3.5%,9.1%,13.4%,16.3%,32.1%
2016-2020,51131,"Northampton, VA        ",8,5.4%,8.7%,12.4%,15.7%,26.1%
2016-2020,51133,"Northumberland, VA        ",9,6.5%,10.5%,13.5%,21.7%,32.6%
2016-2020,51135,"Nottoway, VA        ",6,6.1%,8.8%,8.8%,11.1%,15.5%
2016-2020,51137,"Orange, VA        ",6,6.3%,11.2%,16.1%,18.5%,25.7%
2016-2020,51139,"Page, VA        ",6,4.0%,6.1%,7.9%,9.8%,14.3%
2016-2020,51141,"Patrick, VA        ",8,2.7%,6.0%,7.0%,8.6%,14.9%
2016-2020,51143,"Pittsylvania, VA        ",4,3.3%,5.7%,7.4%,9.3%,15.2%
2016-2020,51145,"Powhatan, VA        ",1,5.9%,8.8%,12.2%,19.1%,30.6%
2016-2020,51147,"Prince Edward, VA        ",6,11.8%,15.1%,14.2%,19.2%,25.5%
2016-2020,51149,"Prince George, VA        ",1,10.5%,14.6%,16.2%,19.4%,23.4%
2016-2020,51153,"Prince William, VA        ",1,12.6%,22.9%,27.6%,31.5%,41.9%
2016-2020,51155,"Pulaski, VA        ",3,5.7%,8.8%,11.5%,12.5%,19.7%
2016-2020,51157,"Rappahannock, VA        ",1,3.1%,11.2%,18.9%,22.9%,34.1%
2016-2020,51159,"Richmond, VA        ",9,5.4%,9.1%,11.8%,9.9%,18.1%
2016-2020,51161,"Roanoke, VA        ",2,11.4%,17.7%,22.6%,28.2%,36.0%
2016-2020,51163,"Rockbridge, VA        ",6,6.7%,12.3%,12.9%,18.7%,27.6%
2016-2020,51165,"Rockingham, VA        ",3,7.7%,11.7%,14.6%,17.6%,27.0%
2016-2020,51167,"Russell, VA        ",7,3.1%,5.9%,6.7%,9.4%,10.2%
2016-2020,51169,"Scott, VA        ",2,3.3%,4.9%,5.9%,8.3%,15.0%
2016-2020,51171,"Shenandoah, VA        ",6,5.1%,8.9%,11.2%,14.7%,19.7%
2016-2020,51173,"Smyth, VA        ",7,4.6%,7.3%,7.8%,10.6%,14.9%
2016-2020,51175,"Southampton, VA        ",6,4.5%,8.8%,11.4%,11.7%,19.3%
2016-2020,51177,"Spotsylvania, VA        ",1,5.4%,12.9%,19.0%,22.8%,32.1%
2016-2020,51179,"Stafford, VA        ",1,7.3%,15.0%,21.6%,29.6%,41.3%
2016-2020,51181,"Surry, VA        ",8,4.0%,7.2%,11.0%,12.8%,20.4%
2016-2020,51183,"Sussex, VA        ",1,6.1%,8.1%,8.6%,10.0%,13.3%
2016-2020,51185,"Tazewell, VA        ",5,4.1%,7.6%,9.1%,11.0%,15.2%
2016-2020,51187,"Warren, VA        ",1,4.5%,9.4%,11.8%,15.0%,20.8%
2016-2020,51191,"Washington, VA        ",2,5.8%,9.7%,12.2%,16.1%,24.2%
2016-2020,51193,"Westmoreland, VA        ",6,5.3%,8.8%,10.9%,13.3%,18.3%
2016-2020,51195,"Wise, VA        ",7,4.1%,7.5%,8.6%,10.8%,14.8%
2016-2020,51197,"Wythe, VA        ",6,6.2%,8.6%,10.0%,12.1%,19.0%
2016-2020,51199,"York, VA        ",1,11.4%,21.6%,28.9%,37.4%,49.5%
2016-2020,51510,"Alexandria, VA        ",1,25.5%,40.9%,48.5%,54.3%,65.1%
2016-2020,51515,"Bedford, VA        ",2,8.6%,13.2%,15.0%,15.2%,
2016-2020,51520,"Bristol, VA        ",2,6.8%,9.7%,13.8%,17.0%,21.8%
2016-2020,51530,"Buena Vista, VA        ",6,6.3%,7.1%,8.7%,10.5%,19.1%
2016-2020,51540,"Charlottesville, VA        ",3,22.7%,31.0%,34.1%,40.8%,55.7%
2016-2020,51550,"Chesapeake, VA        ",1,5.3%,11.5%,16.9%,24.7%,34.6%
2016-2020,51560,"Clifton Forge, VA        ",,7.2%,10.3%,8.9%,9.6%,
2016-2020,51570,"Colonial Heights, VA        ",1,9.7%,16.1%,16.7%,19.0%,26.6%
2016-2020,51580,"Covington, VA        ",6,4.3%,5.1%,7.0%,6.4%,15.1%
2016-2020,51590,"Danville, VA        ",4,7.9%,10.5%,12.4%,13.9%,18.4%
2016-2020,51595,"Emporia, VA        ",6,6.9%,7.9%,13.4%,14.2%,11.7%
2016-2020,51600,"Fairfax, VA        ",1,24.5%,33.5%,41.3%,45.7%,60.3%
2016-2020,51610,"Falls Church, VA        ",1,25.0%,44.9%,52.8%,63.7%,79.1%
2016-2020,51620,"Franklin, VA        ",6,12.2%,10.8%,14.4%,16.4%,19.0%
2016-2020,51630,"Fredericksburg, VA        ",1,18.3%,22.2%,26.1%,30.5%,42.4%
2016-2020,51640,"Galax, VA        ",7,7.9%,7.5%,11.3%,11.1%,17.1%
2016-2020,51650,"Hampton, VA        ",1,11.5%,15.4%,19.1%,21.8%,26.7%
2016-2020,51660,"Harrisonburg, VA        ",3,15.8%,23.3%,28.7%,31.2%,35.2%
2016-2020,51670,"Hopewell, VA        ",1,7.8%,9.9%,10.0%,10.2%,12.8%
2016-2020,51678,"Lexington, VA        ",6,25.9%,28.7%,32.1%,42.6%,50.0%
2016-2020,51680,"Lynchburg, VA        ",2,12.8%,18.7%,21.7%,25.2%,36.0%
2016-2020,51683,"Manassas, VA        ",1,,23.6%,25.8%,28.1%,31.3%
2016-2020,51685,"Manassas Park, VA        ",1,,5.3%,7.9%,20.3%,25.6%
2016-2020,51690,"Martinsville, VA        ",4,11.7%,15.0%,15.8%,16.6%,21.7%
2016-2020,51700,"Newport News, VA        ",1,11.6%,16.2%,18.4%,19.9%,28.0%
2016-2020,51710,"Norfolk, VA        ",1,9.4%,12.5%,16.8%,19.6%,30.0%
2016-2020,51720,"Norton, VA        ",7,8.5%,10.4%,11.6%,14.0%,20.2%
2016-2020,51730,"Petersburg, VA        ",1,9.5%,12.7%,13.5%,14.8%,20.3%
2016-2020,51735,"Poquoson, VA        ",1,,20.6%,29.4%,31.6%,42.9%
2016-2020,51740,"Portsmouth, VA        ",1,6.2%,9.9%,11.6%,13.8%,20.8%
2016-2020,51750,"Radford, VA        ",3,14.9%,21.2%,29.1%,34.1%,40.7%
2016-2020,51760,"Richmond, VA        ",1,11.7%,19.8%,24.2%,29.5%,41.2%
2016-2020,51770,"Roanoke, VA        ",2,9.3%,12.5%,15.6%,18.7%,24.8%
2016-2020,51775,"Salem, VA        ",2,11.0%,15.4%,17.8%,19.8%,30.3%
2016-2020,51790,"Staunton, VA        ",3,11.4%,16.5%,17.8%,20.4%,31.1%
2016-2020,51800,"Suffolk, VA        ",1,9.2%,9.9%,12.3%,17.3%,29.6%
2016-2020,51810,"Virginia Beach, VA        ",1,13.7%,22.4%,25.5%,28.1%,37.3%
2016-2020,51820,"Waynesboro, VA        ",3,14.5%,16.7%,18.2%,20.6%,28.9%
2016-2020,51830,"Williamsburg, VA        ",1,32.3%,40.3%,42.9%,45.0%,50.6%
2016-2020,51840,"Winchester, VA        ",3,8.3%,14.0%,18.8%,23.7%,34.3%
