Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,22095,"St. John the Baptist, LA        ",1,3.9%,9.8%,11.4%,12.9%,17.2%
2016-2020,22097,"St. Landry, LA        ",4,5.3%,8.3%,9.7%,10.7%,15.1%
2016-2020,22099,"St. Martin, LA        ",2,3.6%,6.7%,6.7%,8.5%,15.0%
2016-2020,22101,"St. Mary, LA        ",4,5.8%,9.2%,8.3%,9.4%,9.8%
2016-2020,22103,"St. Tammany, LA        ",1,11.3%,20.0%,23.1%,28.3%,34.3%
2016-2020,22105,"Tangipahoa, LA        ",3,7.8%,11.9%,12.9%,16.3%,22.0%
2016-2020,22107,"Tensas, LA        ",9,5.8%,9.1%,11.7%,14.8%,18.9%
2016-2020,22109,"Terrebonne, LA        ",3,5.7%,9.8%,9.4%,12.3%,15.8%
2016-2020,22111,"Union, LA        ",3,5.1%,8.0%,11.0%,11.8%,17.0%
2016-2020,22113,"Vermilion, LA        ",2,4.3%,8.0%,8.8%,10.7%,16.2%
2016-2020,22115,"Vernon, LA        ",5,8.4%,8.4%,10.3%,13.5%,17.8%
2016-2020,22117,"Washington, LA        ",6,6.4%,8.6%,8.6%,10.9%,11.8%
2016-2020,22119,"Webster, LA        ",2,6.7%,8.9%,10.0%,12.6%,15.0%
2016-2020,22121,"West Baton Rouge, LA        ",2,6.3%,6.7%,9.9%,11.1%,22.7%
2016-2020,22123,"West Carroll, LA        ",9,4.5%,8.6%,8.7%,9.5%,11.5%
2016-2020,22125,"West Feliciana, LA        ",2,2.9%,9.0%,7.8%,10.6%,23.5%
2016-2020,22127,"Winn, LA        ",6,4.8%,8.1%,9.0%,9.4%,16.7%
