Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,05069,"Jefferson, AR        ",3,56.1%,42.4%,34.1%,25.2%,12.6%
2016-2020,05071,"Johnson, AR        ",7,67.0%,52.2%,36.7%,32.4%,20.2%
2016-2020,05073,"Lafayette, AR        ",8,68.4%,58.8%,48.4%,34.7%,21.0%
2016-2020,05075,"Lawrence, AR        ",6,72.1%,59.0%,46.7%,36.7%,16.3%
2016-2020,05077,"Lee, AR        ",7,79.7%,68.1%,55.8%,43.8%,21.8%
2016-2020,05079,"Lincoln, AR        ",3,75.0%,58.4%,41.5%,35.0%,20.7%
2016-2020,05081,"Little River, AR        ",3,64.1%,47.8%,35.4%,26.6%,10.2%
2016-2020,05083,"Logan, AR        ",6,69.5%,53.5%,41.9%,30.2%,13.3%
2016-2020,05085,"Lonoke, AR        ",2,63.8%,46.7%,32.9%,22.4%,10.1%
2016-2020,05087,"Madison, AR        ",2,74.2%,52.1%,40.4%,32.2%,15.5%
2016-2020,05089,"Marion, AR        ",9,64.3%,43.8%,35.8%,24.0%,13.9%
2016-2020,05091,"Miller, AR        ",3,59.2%,45.1%,36.1%,25.7%,14.3%
2016-2020,05093,"Mississippi, AR        ",4,68.8%,53.1%,40.0%,35.3%,17.9%
2016-2020,05095,"Monroe, AR        ",7,74.0%,60.2%,47.1%,36.2%,21.1%
2016-2020,05097,"Montgomery, AR        ",8,65.7%,52.5%,39.9%,30.2%,16.9%
2016-2020,05099,"Nevada, AR        ",7,69.4%,52.0%,39.4%,30.9%,10.5%
2016-2020,05101,"Newton, AR        ",9,72.8%,54.7%,41.9%,29.8%,14.0%
2016-2020,05103,"Ouachita, AR        ",7,61.6%,48.0%,35.2%,26.5%,13.8%
2016-2020,05105,"Perry, AR        ",2,71.8%,48.8%,38.9%,26.2%,10.7%
2016-2020,05107,"Phillips, AR        ",6,73.0%,58.3%,48.5%,37.8%,18.4%
2016-2020,05109,"Pike, AR        ",9,70.0%,51.8%,38.9%,31.2%,15.0%
2016-2020,05111,"Poinsett, AR        ",3,76.4%,60.6%,51.1%,38.0%,19.3%
2016-2020,05113,"Polk, AR        ",7,65.0%,50.1%,37.6%,27.4%,14.8%
2016-2020,05115,"Pope, AR        ",5,58.2%,42.5%,33.5%,22.6%,15.1%
2016-2020,05117,"Prairie, AR        ",8,71.2%,57.2%,43.7%,31.8%,14.1%
2016-2020,05119,"Pulaski, AR        ",2,41.5%,28.3%,21.0%,15.6%,8.7%
2016-2020,05121,"Randolph, AR        ",7,75.3%,57.8%,45.6%,30.8%,15.4%
2016-2020,05123,"St. Francis, AR        ",6,69.4%,54.9%,44.9%,34.9%,18.6%
2016-2020,05125,"Saline, AR        ",2,59.1%,39.8%,27.1%,17.7%,8.7%
2016-2020,05127,"Scott, AR        ",6,72.7%,57.6%,46.2%,34.6%,20.4%
2016-2020,05129,"Searcy, AR        ",9,76.1%,58.4%,47.4%,32.0%,19.2%
2016-2020,05131,"Sebastian, AR        ",2,50.0%,35.6%,28.3%,23.4%,15.8%
2016-2020,05133,"Sevier, AR        ",6,61.8%,47.5%,41.0%,35.4%,24.3%
2016-2020,05135,"Sharp, AR        ",7,67.2%,46.3%,35.5%,27.1%,16.5%
2016-2020,05137,"Stone, AR        ",9,78.9%,58.1%,40.4%,32.0%,20.6%
2016-2020,05139,"Union, AR        ",7,53.5%,42.0%,34.1%,25.5%,13.6%
2016-2020,05141,"Van Buren, AR        ",8,70.9%,47.6%,37.4%,28.4%,15.2%
2016-2020,05143,"Washington, AR        ",2,51.0%,36.2%,26.8%,20.5%,14.5%
2016-2020,05145,"White, AR        ",4,66.3%,51.4%,37.4%,27.1%,14.2%
2016-2020,05147,"Woodruff, AR        ",9,73.7%,61.6%,51.3%,39.4%,17.4%
2016-2020,05149,"Yell, AR        ",6,65.8%,51.3%,42.8%,35.9%,21.7%
