Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,13089,"DeKalb, GA        ",1,19.3%,27.9%,32.7%,36.3%,45.6%
2016-2020,13091,"Dodge, GA        ",6,4.2%,6.6%,8.0%,11.6%,15.3%
2016-2020,13093,"Dooly, GA        ",6,4.3%,7.9%,9.5%,9.6%,12.9%
2016-2020,13095,"Dougherty, GA        ",3,9.5%,14.2%,17.0%,17.8%,22.2%
2016-2020,13097,"Douglas, GA        ",1,5.1%,9.1%,12.0%,19.2%,28.1%
2016-2020,13099,"Early, GA        ",6,4.3%,8.6%,9.4%,12.6%,13.7%
2016-2020,13101,"Echols, GA        ",3,1.2%,3.9%,4.7%,8.4%,7.8%
2016-2020,13103,"Effingham, GA        ",2,2.8%,5.2%,7.6%,13.6%,23.9%
2016-2020,13105,"Elbert, GA        ",6,5.5%,7.9%,8.0%,9.8%,11.8%
2016-2020,13107,"Emanuel, GA        ",7,4.9%,7.2%,9.1%,10.1%,11.4%
2016-2020,13109,"Evans, GA        ",6,5.1%,7.2%,8.6%,9.0%,16.1%
2016-2020,13111,"Fannin, GA        ",8,3.5%,5.2%,7.8%,10.4%,22.1%
2016-2020,13113,"Fayette, GA        ",1,4.7%,16.5%,25.8%,36.2%,46.8%
2016-2020,13115,"Floyd, GA        ",3,7.1%,11.8%,13.7%,15.8%,21.4%
2016-2020,13117,"Forsyth, GA        ",1,2.6%,8.7%,15.6%,34.6%,54.8%
2016-2020,13119,"Franklin, GA        ",8,5.6%,7.9%,9.5%,10.3%,17.1%
2016-2020,13121,"Fulton, GA        ",1,14.5%,23.0%,31.6%,41.4%,54.5%
2016-2020,13123,"Gilmer, GA        ",6,4.0%,6.6%,8.6%,12.9%,21.4%
2016-2020,13125,"Glascock, GA        ",9,1.1%,4.8%,5.3%,6.5%,10.3%
2016-2020,13127,"Glynn, GA        ",3,10.0%,14.9%,19.9%,23.8%,29.7%
2016-2020,13129,"Gordon, GA        ",4,3.7%,6.8%,9.2%,10.6%,15.9%
2016-2020,13131,"Grady, GA        ",6,5.6%,7.0%,7.7%,10.6%,15.3%
2016-2020,13133,"Greene, GA        ",6,5.7%,6.3%,8.8%,17.6%,30.5%
2016-2020,13135,"Gwinnett, GA        ",1,6.3%,18.9%,29.6%,34.1%,37.4%
2016-2020,13137,"Habersham, GA        ",6,6.9%,9.3%,12.0%,15.8%,21.1%
2016-2020,13139,"Hall, GA        ",3,7.5%,12.2%,15.4%,18.7%,24.0%
2016-2020,13141,"Hancock, GA        ",7,5.1%,6.4%,6.8%,9.8%,9.3%
2016-2020,13143,"Haralson, GA        ",1,3.1%,6.9%,7.5%,9.0%,17.3%
2016-2020,13145,"Harris, GA        ",2,7.1%,11.8%,13.6%,21.1%,32.4%
2016-2020,13147,"Hart, GA        ",6,4.1%,7.7%,9.1%,13.5%,17.2%
2016-2020,13149,"Heard, GA        ",1,3.9%,4.4%,5.7%,7.3%,9.2%
2016-2020,13151,"Henry, GA        ",1,3.8%,9.4%,10.7%,19.5%,28.1%
2016-2020,13153,"Houston, GA        ",3,9.6%,13.2%,16.0%,19.8%,31.0%
2016-2020,13155,"Irwin, GA        ",7,5.5%,5.7%,8.3%,9.9%,17.2%
2016-2020,13157,"Jackson, GA        ",4,5.1%,8.0%,9.0%,11.7%,23.5%
2016-2020,13159,"Jasper, GA        ",1,6.4%,9.2%,10.8%,11.5%,14.6%
2016-2020,13161,"Jeff Davis, GA        ",7,4.5%,7.4%,8.3%,9.4%,11.0%
2016-2020,13163,"Jefferson, GA        ",6,4.4%,6.8%,6.2%,9.1%,10.7%
2016-2020,13165,"Jenkins, GA        ",6,4.5%,7.0%,7.7%,10.8%,5.2%
2016-2020,13167,"Johnson, GA        ",7,3.5%,6.2%,4.9%,7.8%,7.0%
2016-2020,13169,"Jones, GA        ",3,5.0%,10.6%,12.0%,15.0%,20.8%
2016-2020,13171,"Lamar, GA        ",1,5.7%,8.0%,10.0%,11.3%,14.0%
2016-2020,13173,"Lanier, GA        ",3,4.0%,5.3%,5.4%,8.8%,19.7%
2016-2020,13175,"Laurens, GA        ",5,5.1%,9.8%,12.0%,14.4%,17.1%
2016-2020,13177,"Lee, GA        ",3,5.7%,9.3%,13.7%,17.0%,27.1%
2016-2020,13179,"Liberty, GA        ",3,9.1%,12.3%,13.4%,14.5%,19.3%
2016-2020,13181,"Lincoln, GA        ",2,4.3%,7.3%,8.2%,10.1%,13.9%
2016-2020,13183,"Long, GA        ",3,3.9%,6.3%,5.2%,5.8%,14.7%
2016-2020,13185,"Lowndes, GA        ",3,10.1%,13.2%,16.3%,19.7%,26.2%
2016-2020,13187,"Lumpkin, GA        ",6,5.2%,9.8%,11.1%,17.6%,31.4%
2016-2020,13189,"McDuffie, GA        ",2,4.4%,8.2%,10.4%,11.7%,15.0%
2016-2020,13191,"McIntosh, GA        ",3,5.6%,6.0%,8.7%,11.1%,17.5%
2016-2020,13193,"Macon, GA        ",6,7.7%,8.0%,10.1%,10.0%,10.1%
2016-2020,13195,"Madison, GA        ",3,2.7%,7.5%,9.7%,10.9%,19.2%
2016-2020,13197,"Marion, GA        ",2,4.1%,6.1%,4.6%,8.9%,13.4%
2016-2020,13199,"Meriwether, GA        ",1,6.4%,7.1%,6.7%,10.8%,10.8%
2016-2020,13201,"Miller, GA        ",8,5.4%,7.1%,8.2%,11.3%,18.6%
2016-2020,13205,"Mitchell, GA        ",6,4.6%,7.5%,7.8%,9.1%,11.7%
2016-2020,13207,"Monroe, GA        ",3,6.5%,9.4%,12.9%,17.1%,26.6%
2016-2020,13209,"Montgomery, GA        ",9,4.1%,7.1%,10.1%,13.5%,16.5%
2016-2020,13211,"Morgan, GA        ",1,6.8%,9.6%,11.0%,18.7%,24.2%
2016-2020,13213,"Murray, GA        ",3,3.3%,5.1%,5.5%,7.2%,10.6%
2016-2020,13215,"Muscogee, GA        ",2,10.0%,12.9%,16.6%,20.3%,27.5%
2016-2020,13217,"Newton, GA        ",1,4.6%,8.6%,9.5%,14.5%,20.9%
2016-2020,13219,"Oconee, GA        ",3,9.1%,21.2%,28.4%,39.8%,50.6%
2016-2020,13221,"Oglethorpe, GA        ",3,3.3%,9.5%,12.8%,15.6%,19.6%
2016-2020,13223,"Paulding, GA        ",1,2.1%,4.3%,7.6%,15.2%,23.9%
2016-2020,13225,"Peach, GA        ",3,11.0%,14.4%,15.2%,16.8%,22.0%
2016-2020,13227,"Pickens, GA        ",1,3.1%,6.9%,9.0%,15.6%,22.7%
2016-2020,13229,"Pierce, GA        ",6,3.6%,6.9%,6.3%,10.1%,13.4%
2016-2020,13231,"Pike, GA        ",1,4.1%,8.7%,9.3%,14.0%,19.5%
2016-2020,13233,"Polk, GA        ",4,3.4%,5.7%,6.8%,8.0%,12.7%
2016-2020,13235,"Pulaski, GA        ",3,6.9%,8.6%,10.7%,12.9%,13.1%
2016-2020,13237,"Putnam, GA        ",6,7.5%,9.2%,11.7%,14.4%,23.5%
2016-2020,13239,"Quitman, GA        ",9,1.9%,6.6%,7.3%,6.1%,11.5%
2016-2020,13241,"Rabun, GA        ",7,7.2%,11.4%,11.6%,17.6%,28.4%
2016-2020,13243,"Randolph, GA        ",6,3.6%,6.7%,6.0%,9.5%,12.3%
2016-2020,13245,"Richmond, GA        ",2,10.9%,14.8%,17.3%,18.7%,22.5%
2016-2020,13247,"Rockdale, GA        ",1,5.3%,12.6%,18.1%,23.4%,27.2%
2016-2020,13249,"Schley, GA        ",8,3.3%,8.4%,8.0%,13.7%,12.1%
2016-2020,13251,"Screven, GA        ",6,5.0%,7.4%,8.6%,10.2%,14.6%
2016-2020,13253,"Seminole, GA        ",6,5.2%,7.3%,7.8%,8.6%,15.4%
2016-2020,13255,"Spalding, GA        ",1,6.0%,9.0%,11.1%,12.5%,18.1%
2016-2020,13257,"Stephens, GA        ",7,5.7%,9.9%,13.1%,14.1%,18.0%
2016-2020,13259,"Stewart, GA        ",8,4.9%,7.7%,8.0%,9.3%,13.6%
2016-2020,13261,"Sumter, GA        ",6,7.6%,14.0%,15.9%,19.3%,20.0%
2016-2020,13263,"Talbot, GA        ",8,6.7%,8.0%,7.1%,7.9%,12.6%
2016-2020,13265,"Taliaferro, GA        ",8,3.7%,5.4%,5.6%,8.4%,5.7%
2016-2020,13267,"Tattnall, GA        ",6,2.6%,5.2%,6.5%,7.9%,14.0%
2016-2020,13269,"Taylor, GA        ",8,4.4%,7.4%,7.1%,8.5%,12.5%
2016-2020,13271,"Telfair, GA        ",7,5.1%,8.1%,8.6%,8.3%,7.0%
2016-2020,13273,"Terrell, GA        ",3,4.8%,9.0%,9.2%,10.7%,10.2%
2016-2020,13275,"Thomas, GA        ",4,6.7%,11.2%,13.4%,16.8%,24.1%
2016-2020,13277,"Tift, GA        ",5,8.1%,11.5%,14.0%,15.6%,17.3%
2016-2020,13279,"Toombs, GA        ",7,5.2%,9.2%,11.4%,12.7%,16.6%
2016-2020,13281,"Towns, GA        ",9,5.0%,9.9%,11.4%,17.4%,32.6%
2016-2020,13283,"Treutlen, GA        ",7,6.7%,6.2%,6.3%,8.5%,16.3%
2016-2020,13285,"Troup, GA        ",4,6.1%,10.9%,13.6%,18.0%,20.1%
2016-2020,13287,"Turner, GA        ",6,3.6%,7.8%,7.2%,10.5%,10.8%
2016-2020,13289,"Twiggs, GA        ",3,2.2%,5.1%,4.8%,5.4%,10.3%
2016-2020,13291,"Union, GA        ",9,4.3%,8.0%,10.1%,12.5%,22.7%
2016-2020,13293,"Upson, GA        ",6,4.6%,7.1%,9.0%,11.5%,13.6%
2016-2020,13295,"Walker, GA        ",2,4.8%,6.0%,8.4%,10.2%,19.2%
2016-2020,13297,"Walton, GA        ",1,4.5%,7.3%,9.4%,13.0%,22.5%
2016-2020,13299,"Ware, GA        ",5,6.9%,10.0%,10.4%,11.4%,15.2%
2016-2020,13301,"Warren, GA        ",8,3.4%,7.5%,4.2%,8.0%,10.5%
2016-2020,13303,"Washington, GA        ",7,4.8%,8.7%,9.8%,10.5%,15.1%
2016-2020,13305,"Wayne, GA        ",6,5.6%,7.2%,9.6%,11.6%,12.6%
2016-2020,13307,"Webster, GA        ",8,3.3%,6.7%,5.5%,9.1%,11.0%
2016-2020,13309,"Wheeler, GA        ",9,4.8%,7.5%,8.6%,7.1%,15.1%
2016-2020,13311,"White, GA        ",6,4.2%,9.6%,13.6%,15.4%,20.2%
2016-2020,13313,"Whitfield, GA        ",3,5.5%,9.7%,12.0%,12.8%,16.4%
2016-2020,13315,"Wilcox, GA        ",8,3.1%,6.1%,7.6%,7.0%,12.0%
2016-2020,13317,"Wilkes, GA        ",6,6.7%,10.1%,10.4%,12.0%,11.4%
2016-2020,13319,"Wilkinson, GA        ",8,3.5%,7.3%,8.8%,9.6%,11.2%
2016-2020,13321,"Worth, GA        ",3,3.4%,7.8%,6.3%,8.6%,10.3%
