Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,28137,"Tate, MS        ",1,5.9%,9.2%,11.7%,12.3%,17.2%
2016-2020,28139,"Tippah, MS        ",6,4.9%,6.5%,9.0%,9.0%,13.9%
2016-2020,28141,"Tishomingo, MS        ",8,3.5%,5.6%,6.6%,8.7%,11.8%
2016-2020,28143,"Tunica, MS        ",1,4.8%,6.5%,8.5%,9.1%,15.3%
2016-2020,28145,"Union, MS        ",6,5.5%,8.8%,10.1%,13.2%,14.0%
2016-2020,28147,"Walthall, MS        ",9,5.3%,9.0%,10.1%,10.4%,15.5%
2016-2020,28149,"Warren, MS        ",4,9.9%,15.7%,19.1%,20.8%,23.0%
2016-2020,28151,"Washington, MS        ",5,8.4%,12.5%,14.3%,16.4%,20.5%
2016-2020,28153,"Wayne, MS        ",7,4.5%,7.4%,8.9%,9.5%,20.6%
2016-2020,28155,"Webster, MS        ",9,4.4%,6.8%,10.8%,13.0%,17.9%
2016-2020,28157,"Wilkinson, MS        ",8,4.9%,8.6%,8.9%,10.0%,14.2%
2016-2020,28159,"Winston, MS        ",7,5.6%,8.4%,10.8%,13.8%,16.1%
2016-2020,28161,"Yalobusha, MS        ",7,5.8%,8.0%,9.9%,9.6%,12.2%
2016-2020,28163,"Yazoo, MS        ",2,6.8%,11.5%,12.0%,11.8%,11.8%
