Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),47087,Jackson,8,"1,950","1,465","2,435",511,340,682
All people in poverty (2020),Children ages 0-17 in poverty (2020),47089,Jefferson,3,"6,948","5,280","8,616","1,877","1,291","2,463"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47091,Johnson,6,"3,005","2,226","3,784",768,522,"1,014"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47093,Knox,2,"50,345","42,739","57,951","12,612","9,474","15,750"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47095,Lake,9,"1,725","1,284","2,166",374,255,493
All people in poverty (2020),Children ages 0-17 in poverty (2020),47097,Lauderdale,6,"4,595","3,569","5,621","1,431",971,"1,891"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47099,Lawrence,6,"6,651","5,370","7,932","2,016","1,413","2,619"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47101,Lewis,6,"1,741","1,334","2,148",550,367,733
All people in poverty (2020),Children ages 0-17 in poverty (2020),47103,Lincoln,6,"4,239","3,209","5,269","1,315",885,"1,745"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47105,Loudon,2,"5,736","4,640","6,832","1,707","1,283","2,131"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47107,McMinn,4,"7,439","5,683","9,195","2,111","1,417","2,805"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47109,McNairy,6,"3,792","2,973","4,611",986,639,"1,333"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47111,Macon,1,"4,069","3,186","4,952","1,368",953,"1,783"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47113,Madison,3,"20,847","18,617","23,077","6,866","5,754","7,978"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47115,Marion,2,"4,186","3,240","5,132","1,251",872,"1,630"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47117,Marshall,6,"4,194","3,380","5,008","1,227",842,"1,612"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47119,Maury,1,"9,763","7,629","11,897","2,776","1,858","3,694"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47121,Meigs,8,"1,978","1,503","2,453",550,371,729
All people in poverty (2020),Children ages 0-17 in poverty (2020),47123,Monroe,6,"6,396","4,877","7,915","1,988","1,353","2,623"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47125,Montgomery,2,"22,576","18,734","26,418","8,582","6,382","10,782"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47127,Moore,9,620,468,772,157,106,208
All people in poverty (2020),Children ages 0-17 in poverty (2020),47129,Morgan,2,"3,598","2,803","4,393",876,600,"1,152"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47131,Obion,7,"4,483","3,486","5,480","1,405",945,"1,865"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47133,Overton,7,"3,611","2,862","4,360","1,072",793,"1,351"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47135,Perry,8,"1,281",962,"1,600",435,294,576
All people in poverty (2020),Children ages 0-17 in poverty (2020),47137,Pickett,9,822,642,"1,002",198,133,263
All people in poverty (2020),Children ages 0-17 in poverty (2020),47139,Polk,3,"2,044","1,503","2,585",641,420,862
All people in poverty (2020),Children ages 0-17 in poverty (2020),47141,Putnam,4,"13,250","11,075","15,425","3,746","2,980","4,512"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47143,Rhea,6,"4,855","3,753","5,957","1,430",952,"1,908"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47145,Roane,2,"7,178","5,544","8,812","1,858","1,273","2,443"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47147,Robertson,1,"6,546","5,063","8,029","1,942","1,327","2,557"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47149,Rutherford,1,"29,418","24,508","34,328","7,888","5,654","10,122"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47151,Scott,6,"4,292","3,347","5,237","1,282",896,"1,668"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47153,Sequatchie,2,"2,402","1,897","2,907",773,566,980
All people in poverty (2020),Children ages 0-17 in poverty (2020),47155,Sevier,4,"13,485","11,321","15,649","3,890","2,953","4,827"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47157,Shelby,1,"174,664","160,422","188,906","61,594","54,212","68,976"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47159,Smith,1,"2,336","1,783","2,889",719,494,944
All people in poverty (2020),Children ages 0-17 in poverty (2020),47161,Stewart,8,"1,798","1,352","2,244",597,416,778
All people in poverty (2020),Children ages 0-17 in poverty (2020),47163,Sullivan,2,"21,301","17,486","25,116","6,100","4,537","7,663"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47165,Sumner,1,"18,595","15,619","21,571","5,479","4,252","6,706"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47167,Tipton,1,"7,698","6,273","9,123","2,902","2,297","3,507"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47169,Trousdale,1,"1,361","1,003","1,719",331,220,442
All people in poverty (2020),Children ages 0-17 in poverty (2020),47171,Unicoi,3,"2,812","2,194","3,430",683,468,898
All people in poverty (2020),Children ages 0-17 in poverty (2020),47173,Union,2,"3,363","2,638","4,088","1,162",868,"1,456"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47175,Van Buren,9,931,703,"1,159",302,204,400
All people in poverty (2020),Children ages 0-17 in poverty (2020),47177,Warren,6,"6,761","5,353","8,169","2,155","1,511","2,799"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47179,Washington,3,"16,625","13,459","19,791","3,622","2,389","4,855"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47181,Wayne,8,"2,883","2,233","3,533",625,428,822
All people in poverty (2020),Children ages 0-17 in poverty (2020),47183,Weakley,7,"5,328","4,191","6,465","1,288",907,"1,669"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47185,White,7,"3,753","2,802","4,704","1,127",753,"1,501"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47187,Williamson,1,"10,080","7,885","12,275","2,282","1,550","3,014"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47189,Wilson,1,"11,645","9,538","13,752","3,094","2,319","3,869"
