Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),12111,St. Lucie,2,"45,996","38,844","53,148","13,642","10,693","16,591"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12113,Santa Rosa,2,"17,152","13,439","20,865","4,782","3,401","6,163"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12115,Sarasota,2,"37,949","31,655","44,243","8,295","6,064","10,526"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12117,Seminole,1,"37,499","31,225","43,773","10,085","7,128","13,042"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12119,Sumter,3,"16,128","13,853","18,403","3,278","2,700","3,856"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12121,Suwannee,6,"7,489","5,543","9,435","2,593","1,772","3,414"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12123,Taylor,6,"3,680","2,729","4,631","1,077",732,"1,422"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12125,Union,6,"2,139","1,589","2,689",607,411,803
All people in poverty (2020),Children ages 0-17 in poverty (2020),12127,Volusia,2,"63,322","55,123","71,521","13,347","9,404","17,290"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12129,Wakulla,2,"3,204","2,286","4,122","1,081",734,"1,428"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12131,Walton,3,"8,470","6,710","10,230","2,745","1,913","3,577"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12133,Washington,6,"4,763","3,846","5,680","1,448","1,057","1,839"
