Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),51049,Cumberland,8,"1,337",972,"1,702",418,277,559
All people in poverty (2020),Children ages 0-17 in poverty (2020),51051,Dickenson,9,"2,615","1,940","3,290",623,411,835
All people in poverty (2020),Children ages 0-17 in poverty (2020),51053,Dinwiddie,1,"3,117","2,382","3,852",893,613,"1,173"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51057,Essex,6,"1,325",989,"1,661",387,256,518
All people in poverty (2020),Children ages 0-17 in poverty (2020),51059,Fairfax,1,"59,990","50,297","69,683","18,409","14,484","22,334"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51061,Fauquier,1,"4,270","3,285","5,255","1,037",717,"1,357"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51063,Floyd,3,"1,708","1,277","2,139",416,277,555
All people in poverty (2020),Children ages 0-17 in poverty (2020),51065,Fluvanna,3,"1,768","1,308","2,228",440,308,572
All people in poverty (2020),Children ages 0-17 in poverty (2020),51067,Franklin,2,"6,320","4,997","7,643","1,738","1,252","2,224"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51069,Frederick,3,"6,658","5,280","8,036","1,902","1,343","2,461"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51071,Giles,3,"1,757","1,319","2,195",512,340,684
All people in poverty (2020),Children ages 0-17 in poverty (2020),51073,Gloucester,1,"2,931","2,135","3,727",858,574,"1,142"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51075,Goochland,1,"1,351",977,"1,725",293,194,392
All people in poverty (2020),Children ages 0-17 in poverty (2020),51077,Grayson,9,"2,346","1,743","2,949",551,372,730
All people in poverty (2020),Children ages 0-17 in poverty (2020),51079,Greene,3,"1,606","1,244","1,968",569,419,719
All people in poverty (2020),Children ages 0-17 in poverty (2020),51081,Greensville,6,"1,683","1,210","2,156",381,249,513
All people in poverty (2020),Children ages 0-17 in poverty (2020),51083,Halifax,6,"5,854","4,668","7,040","1,480","1,030","1,930"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51085,Hanover,1,"5,266","3,968","6,564","1,232",814,"1,650"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51087,Henrico,1,"27,328","22,865","31,791","9,042","7,032","11,052"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51089,Henry,4,"6,385","4,812","7,958","1,940","1,282","2,598"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51091,Highland,8,267,198,336,54,35,73
All people in poverty (2020),Children ages 0-17 in poverty (2020),51093,Isle of Wight,1,"2,845","2,159","3,531",737,484,990
All people in poverty (2020),Children ages 0-17 in poverty (2020),51095,James City,1,"4,937","3,811","6,063","1,192",802,"1,582"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51097,King and Queen,8,767,567,967,187,131,243
All people in poverty (2020),Children ages 0-17 in poverty (2020),51099,King George,6,"1,611","1,190","2,032",462,305,619
All people in poverty (2020),Children ages 0-17 in poverty (2020),51101,King William,1,"1,083",785,"1,381",349,228,470
All people in poverty (2020),Children ages 0-17 in poverty (2020),51103,Lancaster,9,"1,078",798,"1,358",348,229,467
All people in poverty (2020),Children ages 0-17 in poverty (2020),51105,Lee,8,"5,667","4,515","6,819","1,413","1,039","1,787"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51107,Loudoun,1,"13,241","10,560","15,922","3,585","2,454","4,716"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51109,Louisa,8,"3,014","2,251","3,777",908,596,"1,220"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51111,Lunenburg,9,"1,847","1,353","2,341",531,352,710
All people in poverty (2020),Children ages 0-17 in poverty (2020),51113,Madison,8,"1,241",928,"1,554",363,241,485
All people in poverty (2020),Children ages 0-17 in poverty (2020),51115,Mathews,1,738,540,936,192,127,257
All people in poverty (2020),Children ages 0-17 in poverty (2020),51117,Mecklenburg,7,"4,572","3,537","5,607","1,285",861,"1,709"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51119,Middlesex,8,"1,181",858,"1,504",311,206,416
All people in poverty (2020),Children ages 0-17 in poverty (2020),51121,Montgomery,3,"17,059","15,094","19,024","1,761","1,197","2,325"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51125,Nelson,3,"1,571","1,154","1,988",444,295,593
All people in poverty (2020),Children ages 0-17 in poverty (2020),51127,New Kent,1,"1,071",779,"1,363",288,189,387
All people in poverty (2020),Children ages 0-17 in poverty (2020),51131,Northampton,8,"1,854","1,371","2,337",589,390,788
All people in poverty (2020),Children ages 0-17 in poverty (2020),51133,Northumberland,9,"1,487","1,098","1,876",416,278,554
All people in poverty (2020),Children ages 0-17 in poverty (2020),51135,Nottoway,6,"2,470","1,892","3,048",653,437,869
All people in poverty (2020),Children ages 0-17 in poverty (2020),51137,Orange,6,"3,477","2,687","4,267","1,053",762,"1,344"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51139,Page,6,"2,682","2,002","3,362",800,528,"1,072"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51141,Patrick,8,"2,435","1,825","3,045",607,404,810
All people in poverty (2020),Children ages 0-17 in poverty (2020),51143,Pittsylvania,4,"8,227","6,563","9,891","1,899","1,332","2,466"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51145,Powhatan,1,"1,523","1,111","1,935",326,214,438
All people in poverty (2020),Children ages 0-17 in poverty (2020),51147,Prince Edward,6,"4,470","3,660","5,280","1,003",741,"1,265"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51149,Prince George,1,"2,853","2,077","3,629",857,564,"1,150"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51153,Prince William,1,"22,884","18,098","27,670","8,290","5,762","10,818"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51155,Pulaski,3,"4,111","3,153","5,069",921,602,"1,240"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51157,Rappahannock,1,645,486,804,160,109,211
All people in poverty (2020),Children ages 0-17 in poverty (2020),51159,Richmond,9,"1,179",857,"1,501",269,178,360
All people in poverty (2020),Children ages 0-17 in poverty (2020),51161,Roanoke,2,"5,499","4,126","6,872","1,316",871,"1,761"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51163,Rockbridge,6,"2,333","1,713","2,953",629,417,841
All people in poverty (2020),Children ages 0-17 in poverty (2020),51165,Rockingham,3,"6,681","5,190","8,172","1,882","1,300","2,464"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51167,Russell,7,"4,278","3,269","5,287","1,026",680,"1,372"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51169,Scott,2,"3,654","2,821","4,487",824,583,"1,065"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51171,Shenandoah,6,"4,366","3,446","5,286","1,359",996,"1,722"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51173,Smyth,7,"4,467","3,432","5,502","1,202",818,"1,586"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51175,Southampton,6,"2,006","1,450","2,562",570,378,762
All people in poverty (2020),Children ages 0-17 in poverty (2020),51177,Spotsylvania,1,"9,039","6,891","11,187","3,249","2,324","4,174"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51179,Stafford,1,"8,148","6,181","10,115","2,658","1,859","3,457"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51181,Surry,8,738,555,921,197,132,262
All people in poverty (2020),Children ages 0-17 in poverty (2020),51183,Sussex,1,"1,579","1,124","2,034",407,263,551
All people in poverty (2020),Children ages 0-17 in poverty (2020),51185,Tazewell,5,"6,357","4,796","7,918","1,550","1,035","2,065"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51187,Warren,1,"4,008","3,194","4,822","1,327","1,043","1,611"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51191,Washington,2,"6,856","5,368","8,344","1,583","1,094","2,072"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51193,Westmoreland,6,"2,332","1,705","2,959",743,493,993
All people in poverty (2020),Children ages 0-17 in poverty (2020),51195,Wise,7,"6,984","5,320","8,648","1,854","1,322","2,386"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51197,Wythe,6,"3,400","2,538","4,262",954,636,"1,272"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51199,York,1,"3,239","2,414","4,064",919,611,"1,227"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51510,Alexandria,1,"12,537","9,672","15,402","3,582","2,468","4,696"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51520,Bristol,2,"2,948","2,157","3,739","1,063",703,"1,423"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51530,Buena Vista,6,824,609,"1,039",267,177,357
All people in poverty (2020),Children ages 0-17 in poverty (2020),51540,Charlottesville,3,"7,088","5,781","8,395","1,101",726,"1,476"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51550,Chesapeake,1,"18,288","13,900","22,676","5,702","3,869","7,535"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51570,Colonial Heights,1,"1,483","1,073","1,893",577,376,778
All people in poverty (2020),Children ages 0-17 in poverty (2020),51580,Covington,6,817,613,"1,021",300,204,396
All people in poverty (2020),Children ages 0-17 in poverty (2020),51590,Danville,4,"8,468","6,689","10,247","3,205","2,257","4,153"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51595,Emporia,6,959,697,"1,221",409,270,548
All people in poverty (2020),Children ages 0-17 in poverty (2020),51600,Fairfax,1,"1,639","1,291","1,987",326,215,437
All people in poverty (2020),Children ages 0-17 in poverty (2020),51610,Falls Church,1,488,352,624,99,65,133
All people in poverty (2020),Children ages 0-17 in poverty (2020),51620,Franklin,6,"1,392","1,048","1,736",599,401,797
All people in poverty (2020),Children ages 0-17 in poverty (2020),51630,Fredericksburg,1,"3,279","2,397","4,161","1,133",741,"1,525"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51640,Galax,7,"1,125",850,"1,400",424,273,575
All people in poverty (2020),Children ages 0-17 in poverty (2020),51650,Hampton,1,"17,494","14,415","20,573","5,804","4,318","7,290"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51660,Harrisonburg,3,"10,113","8,634","11,592","1,423",984,"1,862"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51670,Hopewell,1,"3,823","2,888","4,758","1,647","1,126","2,168"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51678,Lexington,6,838,604,"1,072",78,51,105
All people in poverty (2020),Children ages 0-17 in poverty (2020),51680,Lynchburg,2,"10,926","8,602","13,250","3,219","2,358","4,080"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51683,Manassas,1,"3,196","2,351","4,041","1,432",945,"1,919"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51685,Manassas Park,1,"1,194",870,"1,518",487,317,657
All people in poverty (2020),Children ages 0-17 in poverty (2020),51690,Martinsville,4,"2,556","1,998","3,114",949,661,"1,237"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51700,Newport News,1,"24,839","20,494","29,184","8,210","5,886","10,534"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51710,Norfolk,1,"36,765","30,446","43,084","12,538","9,817","15,259"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51720,Norton,7,805,621,989,255,172,338
All people in poverty (2020),Children ages 0-17 in poverty (2020),51730,Petersburg,1,"6,227","4,882","7,572","2,339","1,695","2,983"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51735,Poquoson,1,571,414,728,153,101,205
All people in poverty (2020),Children ages 0-17 in poverty (2020),51740,Portsmouth,1,"14,093","10,941","17,245","5,233","3,653","6,813"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51750,Radford,3,"3,633","2,836","4,430",310,205,415
All people in poverty (2020),Children ages 0-17 in poverty (2020),51760,Richmond,1,"39,609","33,263","45,955","10,523","7,513","13,533"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51770,Roanoke,2,"15,511","12,679","18,343","4,486","2,869","6,103"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51775,Salem,2,"2,087","1,561","2,613",530,353,707
All people in poverty (2020),Children ages 0-17 in poverty (2020),51790,Staunton,3,"2,987","2,365","3,609",762,541,983
All people in poverty (2020),Children ages 0-17 in poverty (2020),51800,Suffolk,1,"8,330","6,237","10,423","3,008","2,094","3,922"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51810,Virginia Beach,1,"35,860","29,932","41,788","12,019","9,567","14,471"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51820,Waynesboro,3,"2,556","1,880","3,232",969,655,"1,283"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51830,Williamsburg,1,"1,847","1,334","2,360",346,229,463
All people in poverty (2020),Children ages 0-17 in poverty (2020),51840,Winchester,3,"3,501","2,766","4,236","1,129",806,"1,452"
